Year,State,County,Uninsured #,Uninsured %,Uninsured 95% CI - Low, Uninsured 95% CI - High, Uninsured Z-Score,Adults Uninsured # ,Adults Uninsured % ,Adults Uninsured 95% CI - Low,Adults Uninsured 95% CI - High,Children Uninsured #,Children Uninsured %,Children Uninsured 95% CI - Low,Children Uninsured 95% CI - High,Unemployed # ,Labor Force,Unemployed %,Unemployed Z-Score,Severe Housing Problems %,Severe housing problems 95% CI - Low,Severe housing problems 95% CI - High,Severe Housing Cost Burden,Overcrowding,Inadequate Facilities,Severe housing problems Z-Score,Homeowners #,Homeowners % ,Homeowners 95% CI - Low,Homeowners 95% CI - High,Households with Severe Cost Burden #,Severe Housing Cost Burden %,Severe housing cost burden 95% CI - Low,Severe housing cost burden 95% CI - High
2022,South Carolina,Lancaster,8978,12,10,13,-0.93,7819,14,12,16,1264,6,4,7,2923,42533,6.9,0.18,11,10,13,9,2,1,-1.12,28377,81,79,83,3309,10,8,12
2022,South Carolina,Laurens,7470,14,12,16,0.4,6557,17,15,19,986,7,5,9,2075,30197,6.9,0.18,15,13,17,12,2,1,0.41,18294,72,69,74,3081,13,11,15
2022,South Carolina,Lee,1462,12,11,14,-0.7,1317,15,13,17,160,5,3,6,519,6812,7.6,0.7,16,12,20,15,2,2,0.86,4983,77,74,81,986,17,12,21
2022,South Carolina,Lexington,30853,12,11,14,-0.66,27211,15,14,16,4012,6,4,7,6557,150439,4.4,-1.59,13,12,13,10,2,1,-0.61,86749,75,74,76,11338,10,9,11
2022,South Carolina,McCormick,613,12,10,14,-0.85,551,13,11,16,68,6,4,9,224,3359,6.7,0.04,10,6,13,9,1,0,-1.76,3099,78,75,81,460,12,8,16
2022,South Carolina,Marion,3199,14,12,15,-0.01,2892,17,14,19,334,5,3,7,1037,13251,7.8,0.85,16,13,19,14,2,1,0.8,7174,64,60,68,1464,15,12,19
2022,South Carolina,Marlboro,2578,14,12,16,0.32,2361,18,15,20,242,5,3,6,911,9294,9.8,2.24,15,12,18,12,3,0,0.26,6025,64,60,68,1448,17,13,22
2022,South Carolina,Newberry,4354,15,13,17,0.77,3859,18,16,20,554,7,5,9,921,19201,4.8,-1.28,12,10,15,10,2,1,-0.73,11221,75,72,78,1740,12,9,15
2022,South Carolina,Oconee,8866,15,13,16,0.71,7877,18,15,20,1086,7,5,9,1876,35056,5.4,-0.89,14,12,15,11,2,2,-0.15,23758,73,71,75,3454,11,9,13
2022,South Carolina,Orangeburg,8372,13,11,15,-0.32,7591,16,14,18,864,5,3,6,3155,34945,9,1.7,15,13,17,13,2,1,0.34,22585,67,65,69,4598,15,13,18
